Date,Time(seconds),Detector Id,Flow,Occupancy,Density
10/26/2015,68580,K3D20,580,0.082777776,13.796296
10/26/2015,68760,K3D20,740,0.089444444,14.90740733
10/26/2015,68940,K3D20,540,0.068888888,11.48148133
10/26/2015,69120,K3D20,700,0.090555556,15.09259267
10/26/2015,69300,K3D20,640,0.085555553,14.25925883
10/26/2015,69480,K3D20,540,0.065555558,10.92592633
10/26/2015,69660,K3D20,780,0.094999999,15.83333317
10/26/2015,69840,K3D20,580,0.071111113,11.85185217
10/26/2015,70020,K3D20,740,0.10222222,17.03703667
10/26/2015,70200,K3D20,680,0.086111113,14.35185217
10/26/2015,70380,K3D20,520,0.07,11.66666667
10/26/2015,70560,K3D20,500,0.072777778,12.12962967
10/26/2015,70740,K3D20,720,0.13611111,22.685185
10/26/2015,70920,K3D20,420,0.050000001,8.3333335
10/26/2015,71100,K3D20,540,0.062222224,10.37037067
10/26/2015,71280,K3D20,500,0.056111112,9.351852
10/26/2015,71460,K3D20,680,0.087222219,14.5370365
10/26/2015,71640,K3D20,560,0.07,11.66666667
10/26/2015,71820,K3D20,700,0.086111113,14.35185217
10/26/2015,72000,K3D20,480,0.057777777,9.6296295
10/26/2015,72180,K3D20,520,0.068888888,11.48148133
10/26/2015,72360,K3D20,580,0.077777781,12.9629635
10/26/2015,72540,K3D20,440,0.053888887,8.981481167
10/26/2015,72720,K3D20,500,0.058333334,9.722222333
10/26/2015,72900,K3D20,620,0.075000003,12.5000005
10/26/2015,73080,K3D20,440,0.056111112,9.351852
10/26/2015,73260,K3D20,680,0.085000001,14.16666683
10/26/2015,73440,K3D20,500,0.059444446,9.907407667
10/26/2015,73620,K3D20,580,0.069444448,11.57407467
10/26/2015,73800,K3D20,480,0.057222221,9.537036833
10/26/2015,73980,K3D20,440,0.055,9.166666667
10/26/2015,74160,K3D20,500,0.062222224,10.37037067
10/26/2015,74340,K3D20,460,0.055555556,9.259259333
10/26/2015,74520,K3D20,620,0.075555556,12.59259267
10/26/2015,74700,K3D20,420,0.052222222,8.703703667
10/26/2015,74880,K3D20,300,0.039444443,6.574073833
10/26/2015,75060,K3D20,580,0.082777776,13.796296
10/26/2015,75240,K3D20,700,0.078333333,13.0555555
10/26/2015,75420,K3D20,440,0.051666666,8.611111
10/26/2015,75600,K3D20,540,0.065555558,10.92592633
10/26/2015,75780,K3D20,420,0.047222223,7.8703705
10/26/2015,75960,K3D20,440,0.052777778,8.796296333
10/26/2015,76140,K3D20,340,0.041111112,6.851852
10/26/2015,76320,K3D20,440,0.047777779,7.962963167
10/26/2015,76500,K3D20,520,0.064444445,10.74074083
10/26/2015,76680,K3D20,460,0.057777777,9.6296295
10/26/2015,76860,K3D20,320,0.043333333,7.222222167
10/26/2015,77040,K3D20,520,0.064444445,10.74074083
10/26/2015,77220,K3D20,340,0.039999999,6.6666665
10/26/2015,77400,K3D20,560,0.063333333,10.5555555
10/26/2015,77580,K3D20,440,0.047222223,7.8703705
10/26/2015,77760,K3D20,540,0.063888893,10.64814883
10/26/2015,77940,K3D20,480,0.058333334,9.722222333
10/26/2015,78120,K3D20,360,0.03888889,6.481481667
10/26/2015,78300,K3D20,340,0.069444448,11.57407467
10/26/2015,78480,K3D20,400,0.052222222,8.703703667
10/26/2015,78660,K3D20,220,0.025555555,4.259259167
10/26/2015,78840,K3D20,420,0.055,9.166666667
10/26/2015,79020,K3D20,340,0.043888889,7.314814833
